time,b0,b1,b2,b3,b4,b5,b6,b7
6557,21,D1,9F,C8,7C,64,46,13
6568,74,D2,9F,48,7D,64,2E,13
6577,83,D3,7F,48,7D,64,32,13
6587,4C,D4,7F,88,7D,64,34,13
6598,DA,D5,7F,88,7D,64,26,13
6608,A8,D6,7F,C8,7D,64,1E,13
6617,FA,D7,7F,C8,7D,64,22,13
6628,83,D8,7F,C8,7D,64,1C,13
6647,99,DA,7F,C8,7D,64,28,13
6657,70,DB,7F,C8,7D,64,2E,13
6668,DF,DC,7F,88,7D,64,34,13
6678,98,DD,7F,88,7D,64,3A,13
6688,71,DE,7F,48,7D,64,38,13
6698,E2,DF,7F,48,7D,64,3A,13
6708,B2,D0,7F,48,7D,64,3E,13
6718,46,D1,7F,48,7D,64,46,13
6728,C3,D2,7F,08,7D,64,48,13
6737,FE,D3,7F,C8,7C,64,4C,13
6748,DE,D4,7F,C8,7C,64,56,13
6757,A2,D5,7F,88,7C,64,60,13
6767,AA,D6,7F,88,7C,64,64,13
6777,9B,D7,7F,88,7C,64,62,13
6788,A5,D8,7F,88,7C,64,60,13
6797,C4,D9,7F,88,7C,64,52,13
6807,2F,DA,7F,88,7C,64,4C,13
6817,97,DB,7F,C8,7C,64,40,13
6827,53,DC,7F,C8,7C,64,36,13
6837,B3,DD,7F,48,7D,64,30,13
6847,B5,DE,7F,48,7D,64,2E,13
6858,1E,DF,7F,48,7D,64,28,13
6868,52,D0,7F,48,7D,64,2E,13
6878,1E,D1,5F,08,7D,64,36,13
6887,7E,D2,5F,08,7D,64,2C,13
6897,0F,D3,7F,48,7D,64,28,13
6908,1C,D4,5F,48,7D,64,2E,13
6918,6F,D5,5F,08,7D,64,28,13
6927,2F,D6,5F,08,7D,64,20,13
6938,07,D7,5F,48,7D,64,20,13
6947,46,D8,5F,88,7D,64,26,13
6957,4B,D9,5F,48,7D,64,22,13
6967,1B,DA,5F,48,7D,64,12,13
6977,74,DB,5F,C8,7D,64,06,13
6988,3E,DC,5F,C8,7D,64,08,13
6998,41,DD,5F,C8,7D,64,02,13
7007,0D,DE,5F,C8,7D,64,F4,12
7017,8D,DF,5F,08,7E,64,EC,12
7028,19,D0,5F,08,7E,64,FE,12
7038,56,D1,5F,C8,7D,64,06,13
7048,D6,D2,5F,C8,7D,64,0C,13
7058,E4,D3,5F,88,7D,64,1C,13
7068,2B,D4,5F,88,7D,64,26,13
7078,6F,D5,5F,08,7D,64,28,13
7088,5F,D6,5F,08,7D,64,28,13
7097,98,D7,5F,C8,7C,64,2C,13
7107,BA,D8,5F,C8,7C,64,2C,13
7118,F0,D9,5F,C8,7C,64,28,13
7128,E8,DA,5F,C8,7C,64,14,13
7138,43,DB,5F,08,7D,64,0E,13
7148,5D,DC,5F,08,7D,64,0E,13
7158,6A,DD,5F,08,7D,64,08,13
7168,6E,DE,5F,08,7D,64,F2,12
7177,67,DF,5F,88,7D,64,E0,12
7187,70,D0,5F,88,7D,64,D8,12
7198,70,D1,5F,08,7E,64,CC,12
7208,80,D2,5F,08,7E,64,CE,12
7218,D5,D3,3F,08,7E,64,CA,12
7228,09,D4,3F,08,7E,64,C2,12
7238,13,D5,3F,08,7E,64,CA,12
7248,3F,D6,3F,08,7E,64,C8,12
7258,62,D7,3F,08,7E,64,C4,12
7267,84,D8,3F,08,7E,64,D2,12
7278,51,D9,3F,C8,7D,64,D6,12
7288,0E,DA,3F,C8,7D,64,D6,12
7297,AF,DB,3F,C8,7D,64,DC,12
7308,9A,DC,3F,C8,7D,64,EA,12
7318,BA,DD,5F,88,7D,64,F0,12
7328,F5,DE,3F,48,7D,64,F4,12
7338,16,DF,3F,48,7D,64,FE,12
7348,9D,D0,5F,C8,7C,64,04,13
7357,45,D1,5F,08,7D,64,08,13
7367,5F,D2,5F,C8,7C,64,0A,13
7377,C0,D3,5F,C8,7C,64,02,13
7388,B9,D4,5F,48,7D,64,E6,12
7397,C0,D5,5F,48,7D,64,D4,12
7407,B7,D6,5F,88,7D,64,D4,12
7417,AC,D7,3F,88,7D,64,CE,12
7427,8E,D8,3F,88,7D,64,CE,12
7437,C4,D9,3F,88,7D,64,CA,12
7447,2A,DA,3F,C8,7D,64,D0,12
7457,97,DB,3F,C8,7D,64,D8,12
7467,D8,DC,3F,88,7D,64,D2,12
7477,D7,DD,3F,88,7D,64,D0,12
7487,5D,DE,3F,88,7D,64,D4,12
7497,CE,DF,3F,88,7D,64,D6,12
7507,D6,D0,3F,48,7D,64,E2,12
7517,94,D1,3F,48,7D,64,E6,12
7527,29,D2,3F,08,7D,64,EC,12
7537,56,D3,3F,08,7D,64,F4,12
7547,0C,D4,3F,C8,7C,64,F6,12
7557,42,D5,3F,C8,7C,64,F0,12
7567,40,D6,3F,08,7D,64,E4,12
7577,F3,D7,5F,08,7D,64,E2,12
7587,4F,D8,3F,08,7D,64,E0,12
7597,42,D9,3F,08,7D,64,D8,12
7607,3C,DA,3F,48,7D,64,DA,12
7617,ED,DB,3F,48,7D,64,D8,12
7627,BB,DC,3F,48,7D,64,D4,12
7637,E0,DD,3F,48,7D,64,D8,12
7657,C1,DF,3F,48,7D,64,DA,12
7667,AC,D0,3F,08,7D,64,DE,12
7677,D6,D1,3F,08,7D,64,DE,12
7687,4F,D2,3F,48,7D,64,D2,12
7697,30,D3,3F,48,7D,64,CA,12
7707,9C,D4,3F,48,7D,64,CA,12
7717,9A,D5,3F,48,7D,64,C0,12
7727,37,D6,3F,88,7D,64,B6,12
7737,76,D7,3F,88,7D,64,B8,12
7747,54,D8,3F,88,7D,64,B8,12
7757,56,D9,3F,88,7D,64,B0,12
7767,80,DA,3F,C8,7D,64,AE,12
7777,4D,DB,3F,C8,7D,64,AE,12
7787,1B,DC,3F,C8,7D,64,A2,12
7797,77,DD,3F,C8,7D,64,9A,12
7807,FD,DE,3F,C8,7D,64,9E,12
7817,29,DF,3F,C8,7D,64,A0,12
7828,65,D0,3F,C8,7D,64,A6,12
7837,DB,D1,3F,C8,7D,64,B0,12
7847,2E,D2,3F,88,7D,64,B6,12
7857,1B,D3,3F,88,7D,64,C0,12
7867,A4,D4,3F,48,7D,64,CE,12
7877,42,D5,3F,48,7D,64,D4,12
7887,53,D6,3F,08,7D,64,D6,12
7897,36,D7,3F,08,7D,64,DE,12
7908,D5,D8,3F,C8,7C,64,E8,12
7917,CB,D9,3F,C8,7C,64,E2,12
7927,88,DA,3F,C8,7C,64,E0,12
7937,61,DB,3F,C8,7C,64,E6,12
7947,42,DC,3F,88,7C,64,E6,12
7957,0A,DD,3F,88,7C,64,D8,12
7967,B7,DE,3F,08,7D,64,CC,12
7977,48,DF,3F,08,7D,64,C4,12
7987,AB,D0,3F,48,7D,64,B8,12
7997,41,D1,3F,48,7D,64,A0,12
8007,9F,D2,3F,08,7E,64,84,12
8017,43,D3,3F,08,7E,64,74,12
8028,D2,D4,3F,48,7E,64,74,12
8037,80,D5,3F,48,7E,64,70,12
8047,04,D6,3F,48,7E,64,6E,12
8058,96,D7,1F,48,7E,64,6C,12
8067,1C,D8,1F,48,7E,64,70,12
8077,72,D9,1F,48,7E,64,72,12
8087,2D,DA,1F,48,7E,64,72,12
8098,48,DB,1F,48,7E,64,6E,12
8108,C6,DC,1F,48,7E,64,76,12
8118,DE,DD,1F,48,7E,64,82,12
8127,32,DE,1F,C8,7D,64,90,12
8137,D1,DF,1F,C8,7D,64,9A,12
8148,79,D0,3F,C8,7D,64,A4,12
8158,DE,D1,3F,88,7D,64,B4,12
8167,5E,D2,3F,88,7D,64,BE,12
8177,EA,D3,3F,48,7D,64,BC,12
8188,7E,D4,3F,48,7D,64,B8,12
8198,08,D5,3F,48,7D,64,BA,12
8208,70,D6,3F,48,7D,64,B6,12
8217,CD,D7,3F,48,7D,64,AA,12
8228,BB,D8,3F,48,7D,64,A4,12
8238,DA,D9,3F,88,7D,64,AA,12
8248,BD,DA,3F,88,7D,64,AE,12
