frame,time,id,len,b0,b1,b2,b3,b4,b5,b6,b7
110,29125,0x0AF,4,83,70,37,01,00,00,00,C0
111,29127,0x0A7,8,D6,E4,BF,FF,FE,FB,EF,9F
111,29127,0x0A7,8,D6,E4,BF,FF,FE,FB,EF,9F
112,29127,0x0A8,8,3D,E4,DF,BF,FF,00,00,00
112,29127,0x0A8,8,3D,E4,DF,BF,FF,00,00,00
113,29133,0x0AD,8,74,E5,BF,FF,00,14,00,00
113,29133,0x0AD,8,74,E5,BF,FF,00,14,00,00
114,29133,0x0AE,8,75,05,00,00,35,00,00,02
114,29133,0x0AE,8,75,05,00,00,35,00,00,02
115,29134,0x0AF,4,83,71,37,01,35,00,00,02
115,29134,0x0AF,4,83,71,37,01,35,00,00,02
116,29137,0x0A8,8,57,E5,DF,BF,FF,00,00,00
116,29137,0x0A8,8,57,E5,DF,BF,FF,00,00,00
117,29137,0x0A7,8,AD,E5,BF,FF,FE,FB,EF,9F
117,29137,0x0A7,8,AD,E5,BF,FF,FE,FB,EF,9F
118,29143,0x0AD,8,6A,E6,BF,FF,00,14,00,00
118,29143,0x0AD,8,6A,E6,BF,FF,00,14,00,00
119,29143,0x0AE,8,F6,06,00,00,36,00,00,02
119,29143,0x0AE,8,F6,06,00,00,36,00,00,02
120,29145,0x0AF,4,83,72,00,00,00,01,FE,3F
120,29145,0x0AF,4,83,72,00,00,00,01,FE,3F
121,29147,0x0A7,8,3E,E6,BF,FF,FE,FB,EF,9F
121,29147,0x0A7,8,3E,E6,BF,FF,FE,FB,EF,9F
122,29147,0x0A8,8,67,E6,DF,BF,FF,00,00,00
122,29147,0x0A8,8,67,E6,DF,BF,FF,00,00,00
123,29153,0x0AD,8,35,E7,BF,FF,00,14,00,00
123,29153,0x0AD,8,35,E7,BF,FF,00,14,00,00
124,29153,0x0AE,8,C9,07,00,00,37,00,00,02
124,29153,0x0AE,8,C9,07,00,00,37,00,00,02
125,29155,0x0AF,4,83,73,00,00,37,00,00,02
125,29155,0x0AF,4,83,73,00,00,37,00,00,02
126,29157,0x0A8,8,72,E7,DF,BF,FF,00,00,00
126,29157,0x0A8,8,72,E7,DF,BF,FF,00,00,00
127,29157,0x0A7,8,B7,E7,BF,FF,FE,FB,EF,9F
127,29157,0x0A7,8,B7,E7,BF,FF,FE,FB,EF,9F
128,29163,0x0AD,8,A2,E8,BF,FF,00,14,00,00
128,29163,0x0AD,8,A2,E8,BF,FF,00,14,00,00
129,29163,0x0AE,8,77,08,00,00,38,00,00,02
129,29163,0x0AE,8,77,08,00,00,38,00,00,02
130,29165,0x0AF,4,83,74,40,01,00,20,00,53
130,29165,0x0AF,4,83,74,40,01,00,20,00,53
131,29167,0x0A7,8,FA,E8,BF,FF,FE,FB,EF,9F
131,29167,0x0A7,8,FA,E8,BF,FF,FE,FB,EF,9F
132,29167,0x0A8,8,50,E8,DF,BF,FF,00,00,00
132,29167,0x0A8,8,50,E8,DF,BF,FF,00,00,00
133,29173,0x0AD,8,A6,E9,BF,FF,00,14,00,00
