time,b0,b1,b2,b3,b4,b5,b6,b7
36981,BD,ED,DF,BF,FF,0,0,0
36990,0F,EE,DF,BF,FF,0,0,0
37000,80,EF,DF,BF,FF,0,0,0
37011,E8,E0,DF,BF,FF,0,0,0
37020,92,E1,DF,BF,FF,0,0,0
37030,7E,E2,DF,BF,FF,0,0,0
37040,91,E3,DF,BF,FF,0,0,0
37051,3D,E4,DF,BF,FF,0,0,0
37060,57,E5,DF,BF,FF,0,0,0
37070,67,E6,DF,BF,FF,0,0,0
37080,72,E7,DF,BF,FF,0,0,0
37090,50,E8,DF,BF,FF,0,0,0
37100,22,E9,DF,BF,FF,0,0,0
37110,7D,EA,DF,BF,FF,0,0,0
37120,B0,EB,DF,BF,FF,0,0,0
37130,AE,EC,DF,BF,FF,0,0,0
37140,BD,ED,DF,BF,FF,0,0,0
37150,0F,EE,DF,BF,FF,0,0,0
37160,80,EF,DF,BF,FF,0,0,0
37170,E8,E0,DF,BF,FF,0,0,0
37171,E8,E0,DF,BF,FF,0,0,0
37180,92,E1,DF,BF,FF,0,0,0
37190,7E,E2,DF,BF,FF,0,0,0
37200,91,E3,DF,BF,FF,0,0,0
37211,3D,E4,DF,BF,FF,0,0,0
37220,57,E5,DF,BF,FF,0,0,0
37230,67,E6,DF,BF,FF,0,0,0
37240,72,E7,DF,BF,FF,0,0,0
37250,50,E8,DF,BF,FF,0,0,0
37260,22,E9,DF,BF,FF,0,0,0
37270,7D,EA,DF,BF,FF,0,0,0
37280,B0,EB,DF,BF,FF,0,0,0
37290,AE,EC,DF,BF,FF,0,0,0
37300,BD,ED,DF,BF,FF,0,0,0
37310,0F,EE,DF,BF,FF,0,0,0
37320,80,EF,DF,BF,FF,0,0,0
37330,E8,E0,DF,BF,FF,0,0,0
37340,92,E1,DF,BF,FF,0,0,0
37350,7E,E2,DF,BF,FF,0,0,0
37360,91,E3,DF,BF,FF,0,0,0
37370,3D,E4,DF,BF,FF,0,0,0
37380,57,E5,DF,BF,FF,0,0,0
37390,67,E6,DF,BF,FF,0,0,0
37400,72,E7,DF,BF,FF,0,0,0
37411,50,E8,DF,BF,FF,0,0,0
37420,22,E9,DF,BF,FF,0,0,0
37430,7D,EA,DF,BF,FF,0,0,0
37440,B0,EB,DF,BF,FF,0,0,0
37450,AE,EC,DF,BF,FF,0,0,0
37460,BD,ED,DF,BF,FF,0,0,0
37470,0F,EE,DF,BF,FF,0,0,0
37480,80,EF,DF,BF,FF,0,0,0
37490,E8,E0,DF,BF,FF,0,0,0
37500,92,E1,DF,BF,FF,0,0,0
37521,7E,E2,DF,BF,FF,0,0,0
37530,3D,E4,DF,BF,FF,0,0,0
37540,57,E5,DF,BF,FF,0,0,0
37550,67,E6,DF,BF,FF,0,0,0
37560,72,E7,DF,BF,FF,0,0,0
37570,50,E8,DF,BF,FF,0,0,0
37580,22,E9,DF,BF,FF,0,0,0
37590,7D,EA,DF,BF,FF,0,0,0
37600,B0,EB,DF,BF,FF,0,0,0
37611,AE,EC,DF,BF,FF,0,0,0
37620,BD,ED,DF,BF,FF,0,0,0
37630,0F,EE,DF,BF,FF,0,0,0
37640,80,EF,DF,BF,FF,0,0,0
37651,E8,E0,DF,BF,FF,0,0,0
37660,92,E1,DF,BF,FF,0,0,0
37670,7E,E2,DF,BF,FF,0,0,0
37680,91,E3,DF,BF,FF,0,0,0
37690,3D,E4,DF,BF,FF,0,0,0
37700,57,E5,DF,BF,FF,0,0,0
37710,67,E6,DF,BF,FF,0,0,0
37720,72,E7,DF,BF,FF,0,0,0
37730,50,E8,DF,BF,FF,0,0,0
37740,22,E9,DF,BF,FF,0,0,0
37750,7D,EA,DF,BF,FF,0,0,0
37760,B0,EB,DF,BF,FF,0,0,0
37770,AE,EC,DF,BF,FF,0,0,0
37771,AE,EC,DF,BF,FF,0,0,0
37780,BD,ED,DF,BF,FF,0,0,0
37790,0F,EE,DF,BF,FF,0,0,0
37800,80,EF,DF,BF,FF,0,0,0
37811,E8,E0,DF,BF,FF,0,0,0
37820,92,E1,DF,BF,FF,0,0,0
37830,7E,E2,DF,BF,FF,0,0,0
37840,91,E3,DF,BF,FF,0,0,0
37850,3D,E4,DF,BF,FF,0,0,0
37860,57,E5,DF,BF,FF,0,0,0
37870,67,E6,DF,BF,FF,0,0,0
37880,72,E7,DF,BF,FF,0,0,0
37890,50,E8,DF,BF,FF,0,0,0
37900,22,E9,DF,BF,FF,0,0,0
37911,22,E9,DF,BF,FF,0,0,0
37920,B0,EB,DF,BF,FF,0,0,0
37930,AE,EC,DF,BF,FF,0,0,0
37940,BD,ED,DF,BF,FF,0,0,0
37950,0F,EE,DF,BF,FF,0,0,0
37960,80,EF,DF,BF,FF,0,0,0
37970,E8,E0,DF,BF,FF,0,0,0
37981,92,E1,DF,BF,FF,0,0,0
37990,7E,E2,DF,BF,FF,0,0,0
38000,91,E3,DF,BF,FF,0,0,0
38010,3D,E4,DF,BF,FF,0,0,0
38020,57,E5,DF,BF,FF,0,0,0
38030,67,E6,DF,BF,FF,0,0,0
38040,72,E7,DF,BF,FF,0,0,0
38050,50,E8,DF,BF,FF,0,0,0
38060,22,E9,DF,BF,FF,0,0,0
38070,7D,EA,DF,BF,FF,0,0,0
38080,B0,EB,DF,BF,FF,0,0,0
38090,AE,EC,DF,BF,FF,0,0,0
38100,BD,ED,DF,BF,FF,0,0,0
38110,0F,EE,DF,BF,FF,0,0,0
38120,80,EF,DF,BF,FF,0,0,0
38150,7E,E2,DF,BF,FF,0,0,0
38161,91,E3,DF,BF,FF,0,0,0
38170,3D,E4,DF,BF,FF,0,0,0
38180,57,E5,DF,BF,FF,0,0,0
38190,67,E6,DF,BF,FF,0,0,0
38200,72,E7,DF,BF,FF,0,0,0
38211,50,E8,DF,BF,FF,0,0,0
38221,22,E9,DF,BF,FF,0,0,0
