time,actual,predicted,match,counter,b4,b5,b6,b7,rpm,stat,dyn
1033838,192,30,False,0,150,100,234,64,4154.5,213,93
1033848,192,30,False,1,150,100,232,64,4154.0,215,93
1033858,192,30,False,2,151,100,2,65,4160.5,215,95
1033868,192,30,False,3,151,100,24,65,4166.0,219,95
1033878,192,30,False,4,151,100,74,65,4178.5,219,95
1033888,192,30,False,5,151,100,94,65,4183.5,221,96
1033898,192,30,False,6,151,100,92,65,4183.0,221,97
1033908,192,30,False,7,151,100,102,65,4185.5,225,97
1033917,192,30,False,8,151,100,106,65,4186.5,225,98
1033928,192,30,False,9,151,100,100,65,4185.0,227,98
1033938,192,30,False,10,152,100,94,65,4183.5,227,99
1033948,192,30,False,11,152,100,92,65,4183.0,230,99
1033958,192,30,False,12,152,100,86,65,4181.5,230,99
1033968,192,30,False,13,152,100,106,65,4186.5,232,99
1033978,192,30,False,14,152,100,140,65,4195.0,233,100
1033988,192,30,False,15,152,100,180,65,4205.0,236,100
1033998,192,30,False,0,152,100,174,65,4203.5,236,101
1034008,192,30,False,1,152,100,200,65,4210.0,238,101
1034018,192,30,False,2,152,100,202,65,4210.5,238,102
1034028,192,30,False,3,152,100,202,65,4210.5,241,102
1166518,192,30,False,4,151,100,4,64,4097.0,227,95
1166529,192,30,False,5,151,100,58,64,4110.5,227,95
1166538,192,30,False,6,151,100,84,64,4117.0,226,96
1166548,192,30,False,7,151,100,148,64,4133.0,226,96
1166558,192,30,False,8,151,100,182,64,4141.5,226,97
1166568,192,30,False,9,151,100,248,64,4158.0,227,97
1166578,192,30,False,10,151,100,70,65,4177.5,228,98
1166588,192,30,False,11,151,100,88,65,4182.0,227,97
1166598,192,30,False,12,151,100,150,65,4197.5,227,98
1166608,192,30,False,13,151,100,200,65,4210.0,228,98
1166618,192,30,False,14,152,100,254,65,4223.5,229,99
1166628,192,30,False,15,152,100,20,66,4229.0,228,99
1166638,192,30,False,0,152,100,84,66,4245.0,228,99
1166648,192,30,False,1,152,100,138,66,4258.5,229,99
1166658,192,30,False,2,152,100,154,66,4262.5,229,101
1166668,192,30,False,3,152,100,220,66,4279.0,229,101
1166679,192,30,False,4,152,100,4,67,4289.0,230,101
1166688,192,30,False,5,152,100,60,67,4303.0,231,101
1180739,192,30,False,2,145,100,210,66,4276.5,199,73
